date;country;gdp
1999-Q1;France;344521
1999-Q1;Italy;274207.1
1999-Q1;Poland;34863.75
1998-Q4;Belgium;60259.42
1998-Q4;Germany;523915.31
1998-Q4;Spain;149004.04
1998-Q4;France;347146.71
1998-Q4;Italy;308594.1
1998-Q4;Poland;41778.92
1998-Q3;Belgium;56445.46
1998-Q3;Germany;506333.44
1998-Q3;Spain;135838.59
1998-Q3;France;329120.34
1998-Q3;Italy;275888.18
1998-Q3;Poland;38475.95
1998-Q2;Belgium;58253.48
1998-Q2;Germany;489077.31
1998-Q2;Spain;138992.77
1998-Q2;France;336195.94
1998-Q2;Italy;284349.17
1998-Q2;Poland;38759.78
1998-Q1;Belgium;56059.58
1998-Q1;Germany;481581.63
1998-Q1;Spain;129533.31
1998-Q1;France;330845.82
1998-Q1;Italy;265767.39
1998-Q1;Poland;35929.18
1997-Q4;Belgium;58323.82
1997-Q4;Germany;508637.01
1997-Q4;Spain;139498.62
1997-Q4;France;332720.34
1997-Q4;Italy;300037.84
1997-Q4;Poland;37526.31
1997-Q3;Belgium;54425.2
1997-Q3;Germany;493117.18
1997-Q3;Spain;127024.46
1997-Q3;France;312140.53
1997-Q3;Italy;268288.83
1997-Q3;Poland;34870.69
1997-Q2;Belgium;56389.6
1997-Q2;Germany;484628.95
1997-Q2;Spain;131179.78
1997-Q2;France;322620.75
1997-Q2;Italy;273146.88
1997-Q2;Poland;34954.57
1997-Q1;Belgium;53906.55
1997-Q1;Germany;466199.75
1997-Q1;Spain;123115.36
1997-Q1;France;315059.78
1997-Q1;Italy;254735.55
1997-Q1;Poland;33079
1996-Q4;Belgium;56570.86
1996-Q4;Germany;508150.91
1996-Q4;Spain;133042.86
1996-Q4;France;321257.12
1996-Q4;Italy;283871.68
1996-Q4;Poland;33920.02
1996-Q3;Belgium;53541.54
1996-Q3;Germany;497943.34
1996-Q3;Spain;123984.45
1996-Q3;France;308944.57
1996-Q3;Italy;254300.09
1996-Q3;Poland;31160.92
1996-Q2;Belgium;55590.79
1996-Q2;Germany;483346.96
1996-Q2;Spain;128285.87
1996-Q2;France;318175.12
1996-Q2;Italy;259333.64
1996-Q2;Poland;31233.47
1996-Q1;Belgium;54239.92
1996-Q1;Germany;478191.88
1996-Q1;Spain;120989.68
1996-Q1;France;316771.33
1996-Q1;Italy;237444.46
1996-Q1;Poland;29702.22
1995-Q4;Belgium;57115.57
1995-Q4;Germany;515709.61
1995-Q4;Spain;126425.63
1995-Q4;France;313952.47
1995-Q4;Italy;250567.35
1995-Q4;Poland;28711.85
1995-Q3;Belgium;53742.03
1995-Q3;Germany;497044.62
1995-Q3;Spain;116044.86
1995-Q3;France;299926.95
1995-Q3;Italy;220929.8
1995-Q3;Poland;27840.23
1995-Q2;Belgium;56118.81
1995-Q2;Germany;490635.3
1995-Q2;Spain;118587.54
1995-Q2;France;306900.73
1995-Q2;Italy;214076.03
1995-Q2;Poland;26579.08
1995-Q1;Belgium;53331.15
1995-Q1;Germany;474518.76
1995-Q1;Spain;109344.89
1995-Q1;France;303928.58
1995-Q1;Italy;212587.01
1995-Q1;Poland;25611.12
